Shot,X,Y,Phantoms,Opponent,Shooter,On-ice 1,OI 2,OI 3,OI 4,OI 5,Shot Type,Rebound?
1,-579,-326,y,,49,19,25,49,5,44,s,
2,-379,36,n,,16,10,9,16,43,14,w,
3,-619,482,n,,10,10,9,16,43,14,w,
4,-13,401,n,,14,8,21,38,43,14,w,
5,-827,300,y,,21,8,21,38,43,14,s,
6,883,-221,,y,,19,21,29,5,44,w,
7,-347,-283,n,,43,19,11,29,43,3,s,
8,-361,-359,n,,43,19,11,29,43,3,s,
9,-383,9,n,,10,10,9,16,43,3,s,
10,-470,-437,n,,3,10,9,16,43,3,w,
11,302,-409,,n,,8,21,38,5,44,b,
12,-355,412,n,,3,19,11,29,43,3,w,
13,831,-160,,h,,19,11,29,43,3,w,
14,-714,59,h,,16,10,9,16,5,44,w,
15,844,421,,n,,18,25,49,5,44,w,
16,785,167,,h,,10,9,49,43,3,w,
17,415,-472,,n,,10,9,49,43,3,w,
18,-810,5,h,,14,19,11,38,39,14,d,
19,932,-307,,y,,8,21,38,43,39,w,
20,-402,-242,n,,5,18,25,49,5,44,w,
21,-706,-478,n,,49,18,25,49,5,44,w,
22,-602,482,n,,3,18,25,49,5,44,w,
23,-849,488,n,,5,19,11,29,5,44,w,
24,-387,-446,n,,39,10,9,16,14,39,w,
25,-376,-272,y,,14,10,9,16,14,39,w,
26,-896,-331,y,,25,8,25,49,5,44,w,
27,-584,-171,y,,19,19,11,29,39,14,w,
28,785,-292,,y,,10,9,16,43,3,w,
29,-1016,-51,h,,19,19,11,29,5,44,w,
30,-1000,-4,h,,29,19,11,29,5,44,b,y
31,893,-2,,h,,18,25,49,14,39,w,
32,-693,-203,y,,16,10,9,16,14,39,w,
33,-643,-175,y,,16,10,9,16,14,39,w,
34,384,423,,n,,10,9,16,43,3,s,
35,-914,-125,h,,14,18,25,49,14,39,w,
36,-396,-342,n,,18,18,25,49,14,39,s,
37,-385,-381,n,,14,18,25,49,14,39,w,
38,-691,-145,y,,21,8,21,38,5,44,w,
39,-810,-201,y,,19,19,11,29,5,3,b,
40,865,334,,y,,10,9,16,43,3,w,
41,854,219,,y,,9,11,19,14,39,w,
42,670,-428,,n,,8,21,16,44,39,w,
43,878,31,,h,,8,21,16,43,3,w,
44,-561,-158,y,,43,18,25,38,43,3,s,
45,-1026,-229,n,,38,18,25,38,43,3,w,
46,-883,9,h,,10,10,9,49,43,3,d,
47,-751,232,h,,19,19,11,16,39,14,w,
48,-940,-75,h,,11,19,11,16,39,14,b,y
49,-584,-255,n,,14,19,11,16,39,14,s,
50,967,48,,h,,8,21,38,43,3,w,
51,-1070,-355,n,,38,8,21,38,39,14,w,
52,-671,-125,y,,10,10,9,16,43,3,w,
53,-381,384,n,,43,10,9,16,43,3,w,
54,1036,-34,,h,,8,21,38,5,44,w,
55,-818,-199,y,,18,18,25,49,14,39,w,
56,-606,-6,y,,43,19,11,29,43,3,w,
57,-701,284,y,,16,8,9,16,5,39,w,
58,-134,482,n,,16,8,9,16,5,39,w,
59,653,-160,,y,,10,9,16,3,39,w,
60,813,-277,,y,,18,25,49,43,3,w,
61,-415,-370,n,,5,19,11,29,5,44,s,
62,911,-30,,h,,19,11,29,5,44,d,
63,-127,434,n,,19,19,11,29,5,44,w,
64,-372,204,n,,39,8,21,38,14,39,s,
65,-927,-264,y,,38,8,21,38,14,39,s,
66,-825,261,y,,10,10,9,16,43,3,b,
67,378,352,,n,,10,9,16,39,14,s,
68,900,109,,h,,10,9,16,39,14,w,y
69,352,-197,,n,,8,21,38,39,14,w,
70,883,408,,y,,18,25,49,43,3,s,
71,-515,-402,n,,3,8,9,38,14,3,s,
72,837,-184,,h,,8,11,38,14,3,w,
73,703,371,,y,,19,11,38,43,39,w,
74,653,74,,y,,18,21,29,5,44,w,
75,-740,237,y,,21,18,21,29,5,44,w,
76,-966,146,n,,21,18,21,29,5,44,d,
77,-662,11,y,,10,10,9,16,43,3,w,
78,-402,464,n,,39,19,11,29,14,39,w,
79,848,-285,,y,,10,9,16,14,39,w,
80,-307,438,n,,49,18,25,49,5,44,w,
81,-714,-216,y,,49,18,25,49,39,14,w,
82,-751,193,h,,21,18,21,19,5,44,s,
